1 :  0 [0]

2 :  11 [1, 10]

3 :  33 [2, 11, 20]

4 :  66 [3, 12, 21, 30]

5 :  110 [4, 13, 22, 31, 40]

6 :  165 [5, 14, 23, 32, 41, 50]

7 :  231 [6, 15, 24, 33, 42, 51, 60]

43 :  9925 [19, 28, 37, 46, 55, 64, 73, 82, 91, 109, 118, 127, 136, 145, 154, 163, 172, 181, 190, 208, 217, 226, 235, 244, 253, 262, 271, 280, 307, 316, 325, 334, 343, 352, 361, 370, 406, 415, 424, 433, 442, 451, 460]

44 :  10430 [19, 28, 37, 46, 55, 64, 73, 82, 91, 109, 118, 127, 136, 145, 154, 163, 172, 181, 190, 208, 217, 226, 235, 244, 253, 262, 271, 280, 307, 316, 325, 334, 343, 352, 361, 370, 406, 415, 424, 433, 442, 451, 460, 505]

45 :  10944 [19, 28, 37, 46, 55, 64, 73, 82, 91, 109, 118, 127, 136, 145, 154, 163, 172, 181, 190, 208, 217, 226, 235, 244, 253, 262, 271, 280, 307, 316, 325, 334, 343, 352, 361, 370, 406, 415, 424, 433, 442, 451, 460, 505, 514]

46 :  11467 [19, 28, 37, 46, 55, 64, 73, 82, 91, 109, 118, 127, 136, 145, 154, 163, 172, 181, 190, 208, 217, 226, 235, 244, 253, 262, 271, 280, 307, 316, 325, 334, 343, 352, 361, 370, 406, 415, 424, 433, 442, 451, 460, 505, 514, 523]


...
99 :  62496 [39, 48, 57, 66, 75, 84, 93, 129, 138, 147, 156, 165, 174, 183, 192, 219, 228, 237, 246, 255, 264, 273, 282, 291, 309, 318, 327, 336, 345, 354, 363, 372, 381, 390, 408, 417, 426, 435, 444, 453, 462, 471, 480, 507, 516, 525, 534, 543, 552, 561, 570, 606, 615, 624, 633, 642, 651, 660, 705, 714, 723, 732, 741, 750, 804, 813, 822, 831, 840, 903, 912, 921, 930, 1029, 1038, 1047, 1056, 1065, 1074, 1083, 1092, 1119, 1128, 1137, 1146, 1155, 1164, 1173, 1182, 1191, 1209, 1218, 1227, 1236, 1245, 1254, 1263, 1272, 1281]

